Country Name,Country Code,elec_use_capita_2014,elec_access_2014,pop_2014,per_industry,per_residential,per_commercial,Industry_total_electricity(GWh),Residential_total_electricity(GWh),Commercial_total_electricity(GWh)
Israel,ISR,6600.8982801222,100,8215700,0.2707265601447091,0.29996985227615314,0.3047934880916491,14681.772083207708,16267.66505878805,16529.255652698208
Italy,ITA,5002.40667987736,100,60789140,0.5196404226312201,0.22388377641445129,0.20731083844580775,158018.49539877297,68081.26533742332,63041.56748466257
Jamaica,JAM,1050.73290446087,96.4445571899414,2875136,0.6242774566473989,0.17341040462427745,0.2023121387283237,1818.8886003033465,505.2468334175962,589.4546389871956
Japan,JPN,7819.71463590936,100,127276000,0.4302624499312489,0.2571889759072159,0.2903090811263227,428223.8664434745,255970.41453936743,288933.5966999461
Jordan,JOR,1864.67585548017,99.9874420166016,8920049,0.302504816955684,0.3275529865125241,0.20616570327552985,5030.93075762535,5447.50464201471,3428.7235099739646
Kazakhstan,KAZ,5600.20846486508,99.9785308837891,17288285,0.6015857284440039,0.13544763792533862,0.0,58231.82251422955,13110.953998261457,0.0
Kenya,KEN,164.325548654934,36,46699981,0.631578947368421,0.24210526315789474,0.11578947368421053,1744.8252631578935,668.8496842105259,319.8846315789471
"Korea, Dem. People’s Rep.",PRK,601.690047854253,37.4245109558105,25057752,0.5,0.0,0.0,2821.246758403774,0.0,0.0
"Korea, Rep.",KOR,10496.5136719641,100,50746659,0.5715611739745403,0.1410007072135785,0.2595473833097596,304449.4896128006,75105.85970650637,138251.2878359265
Kuwait,KWT,15590.5999064737,100,3690942,0.0,0.6684088269454123,0.3315911730545877,0.0,38462.9175377467,19081.082462253147
Kyrgyz Republic,KGZ,1941.22183189101,99.8,5835500,0.34876989869753977,0.24457308248914614,0.0,3942.9636816208354,2764.9828306801705,0.0
Latvia,LVA,3507.40452065472,100,1993782,0.3194805194805195,0.2649350649350649,0.34545454545454546,2234.1272727272753,1852.6909090909112,2415.7636363636393
Lebanon,LBN,2588.30067018927,100,6262410,0.2623345367027677,0.38146811070998793,0.16726835138387486,4252.180505415158,6183.21660649819,2711.252707581226
Libya,LBY,1811.05516990863,74.7983627319336,6362037,0.301605504587156,0.588302752293578,0.0,2599.3168739621556,5070.150404344432,0.0
Lithuania,LTU,3821.1451704374,100,2932367,0.3696060037523452,0.2851782363977486,0.30206378986866794,4141.435272045031,3195.4221388367755,3384.6247654784265
Luxembourg,LUX,13914.6784488756,100,556319,0.5613682092555332,0.13682092555331993,0.2857142857142857,4345.551307847097,1059.1307847082528,2211.7142857142926
Malaysia,MYS,4651.9587341816,99.9925079345703,29866559,0.5330672748004561,0.18529076396807295,0.28088179399467883,74057.75215525356,25741.999412253903,39022.230903908996
Malta,MLT,4924.54401944044,100,434558,0.3208955223880597,0.3582089552238806,0.3208955223880597,686.7164179104474,766.567164179104,686.7164179104474
Mauritius,MUS,2182.50915591141,97.8613510131836,1260934,0.4117647058823529,0.3088235294117647,0.2352941176470588,1108.941803481157,831.7063526108678,633.681030560661
Mexico,MEX,2157.32394883914,99.172928,120355128,0.5686509841574652,0.24851976316210594,0.12081933109297488,146426.23460330456,63993.22986884254,31110.6816168552
Mongolia,MNG,2006.38888095267,81.1555938720703,2940108,0.5466666666666666,0.0,0.0,2617.0947704406694,0.0,0.0
Morocco,MAR,904.442154848276,91.6,34192347,0.47144152311876697,0.3227561196736174,0.13417951042611062,13354.665457842242,9142.809428830458,3800.9432456935615
Mozambique,MOZ,478.921172329335,23.4052791595459,26286163,0.7430167597765364,0.18994413407821228,0.0670391061452514,2189.291893416568,559.668604332055,197.53009564660763
Myanmar,MMR,215.298895443599,52,52280807,0.4163701067615658,0.3950177935943061,0.18861209964412806,2437.064199288251,2312.0865480427,1103.9692526690367
Namibia,NAM,1652.56902565727,48.4340667724609,2273430,0.2981366459627329,0.0,0.0,542.5096810856228,0.0,0.0
Nepal,NPL,146.467864816665,84.9,26906926,0.4017857142857143,0.4107142857142857,0.07142857142857142,1344.3384375000032,1374.2126250000033,238.99350000000058
Netherlands,NLD,6712.774758245,100,16865008,0.4251987767584098,0.21051987767584102,0.3028746177370031,48137.17871559633,23833.16587155964,34288.738348623854
New Zealand,NZL,9026.32104131095,100,4509700,0.4059203810820007,0.3293637291595781,0.2000680503572644,16523.39503232392,13407.079959169785,8143.970057842804
Nicaragua,NIC,568.313810807014,81.853073,6142733,0.22137404580152675,0.2900763358778626,0.3053435114503817,632.5742944616034,828.8904548117561,872.5162682229012
Niger,NER,51.1950084398999,16.5255012512207,19240157,0.42857142857142855,0.3928571428571429,0.17857142857142858,69.7612231390816,63.94778787749148,29.067176307950668
Nigeria,NGA,144.525462223266,55.4410972595215,176404902,0.21534320323014805,0.5127860026917901,0.2718707940780619,3043.813242813453,7248.0802844495365,3842.8142190519848
North Macedonia,MKD,3496.52873867478,100,2077775,0.29977628635346754,0.5100671140939598,0.1812080536912752,2177.874720357939,3705.6375838926133,1316.476510067113
Norway,NOR,22999.9345951283,100,5137232,0.4708005946060735,0.3163091951582077,0.1879379910809089,55627.915056275284,37373.829263113235,22206.001274155897
Oman,OMN,6445.57341716204,100,4027260,0.047619047619047616,0.5799319727891157,0.35034013605442177,1236.0952380952376,15053.874149659863,9094.12925170068
